59977	99	15699
54545	96	2081
54277	96	2081
54277	51	48003
54277	51	5108
54277	51	40890
54277	51	19171
54277	51	20545
54277	51	74218
54277	76	32988
38864	31	15666
38864	99	15699
38864	99	65182
23986	31	15666
23986	99	15699
23986	99	46443
23986	99	71969
23986	99	65182
3373	99	15699
10390	51	48003
10390	51	31693
10390	51	19171
10390	51	47676
10390	51	20545
10390	51	74218
69266	99	15699
69808	31	25979
69808	99	15699
67382	99	15699
67382	99	71969
67382	99	65182
255	99	15699
64758	99	15699
38822	99	15699
8966	99	46443
50594	99	15699
34696	99	46443
34696	99	65182
68265	99	15699
39430	99	15699
26732	99	65182
19085	99	65182
52794	99	65182
38181	51	72019
38181	51	19171
38181	51	47676
38181	51	20545
38181	51	74218
38181	51	37175
74901	99	15699
30078	99	15699
30078	99	65182
20370	99	15699
20370	99	46443
19409	99	15699
5031	114	61224
5031	99	15699
73976	99	15699
1735	99	15699
49036	99	15699
17841	99	15699
17841	99	65182
39711	99	65182
65439	114	45684
65439	99	15699
65439	99	46443
65439	99	65182
59740	31	15666
59740	114	59019
59740	114	43369
42798	99	15699
44794	99	15699
44794	99	46443
29309	99	46443
64909	31	13209
64909	31	72225
64909	31	53177
64909	31	38663
64909	31	23464
64909	99	15699
43685	99	15699
27294	99	46443
18579	99	15699
18579	99	46443
18579	99	65182
29532	51	8268
29532	51	63601
29532	51	71791
30604	99	65182
68242	99	15699
11683	99	15699
61073	99	54034
61073	99	15699
61073	99	46443
61073	99	65182
69166	99	15699
54954	31	53483
54954	31	37812
54954	99	15699
54954	99	46443
54954	99	65182
74268	99	15699
56528	99	15699
39388	99	65182
57695	99	15699
57695	99	65182
56395	99	15699
4417	99	15699
69938	99	15699
23701	99	15699
8838	99	46443
14445	31	67382
14445	31	61073
14445	31	15666
14445	31	71880
14445	31	72766
14445	31	13209
14445	31	53483
14445	31	71809
14445	31	28347
14445	31	37812
14445	31	53177
14445	31	35057
14445	31	21316
14445	31	23464
14445	31	58790
14445	31	43391
14445	99	32615
14445	99	32934
14445	99	39509
14445	99	52852
14445	99	15699
14445	99	38808
14445	99	2913
14445	99	4052
14445	99	46443
14445	99	71969
14445	99	74540
14445	99	39005
14445	99	49482
14445	99	65182
14445	99	15469
14445	99	22633
14445	99	68405
35045	99	15699
54151	99	25173
54151	99	15699
54151	99	17447
39992	99	15699
73179	99	15699
49866	51	6997
49866	51	65970
49866	51	6926
49866	51	48003
49866	51	5108
49866	51	31693
49866	51	19171
49866	51	47676
49866	51	20545
49866	51	74218
49866	130	20158
49866	51	8307
62129	99	46443
26267	114	47374
26267	99	65182
14560	99	15699
12050	51	65970
12050	76	28918
6222	99	15699
6222	99	65182
2909	99	15699
42526	51	48003
42526	51	5108
42526	51	31693
42526	51	20545
42526	51	74218
2453	99	46443
7033	99	15699
69063	99	15699
35643	114	48594
35643	99	15699
66168	99	15699
57751	99	39005
11710	99	39005
52576	99	15699
52576	99	39005
70548	99	46443
71363	99	15699
71363	99	46443
71363	99	65182
908	99	15699
43942	99	15699
21082	99	15699
21082	99	46443
23445	99	15699
67450	99	46443
18010	99	15699
7795	99	15699
7795	99	46443
7795	99	65182
21035	31	71363
21035	31	4295
21035	31	59597
21035	31	56958
21035	31	57638
21035	31	6799
21035	31	71809
21035	31	37780
21035	31	14054
21035	31	18007
21035	31	16513
21035	31	42509
21035	31	12566
21035	31	67374
21035	31	52795
21035	31	45757
21035	31	29121
21035	31	30716
21035	31	27738
21035	31	42191
21035	31	68526
21035	31	42312
21035	114	56488
21035	114	73049
21035	31	35652
21035	99	15699
21035	99	46443
21035	99	65182
60069	99	15699
24172	99	15699
24172	99	46443
758	99	15699
4295	31	71363
4295	99	15699
4295	99	46443
31716	99	15699
68910	99	15699
57991	99	15699
57991	99	65182
35185	51	20545
59597	99	15699
59597	99	65182
37040	99	15699
40669	31	13209
40669	99	15699
40669	99	46443
15666	31	58682
15666	31	72766
15666	31	69232
15666	31	53177
15666	31	13100
15666	99	15699
15666	99	2913
15666	99	46443
15666	99	67038
15666	99	71969
15666	99	49482
15666	99	65182
15666	99	22633
15666	99	49025
15666	99	68405
6355	99	15699
58682	31	14445
58682	31	15666
58682	31	71809
58682	114	43369
58682	99	39509
58682	99	46558
58682	99	15699
58682	99	2913
58682	99	41551
58682	99	46443
58682	99	24583
58682	99	49163
58682	99	65182
58682	99	41718
47137	99	15699
1155	99	15699
196	99	15699
25803	99	15699
3718	99	15699
15878	99	15699
50001	99	15699
50001	99	65182
26483	99	15699
70985	99	15699
70985	99	46443
70985	99	65182
52632	99	15699
17053	99	15699
14841	99	15699
58345	96	2081
58345	51	48003
58345	51	5108
58345	51	19171
58345	51	47676
58345	51	20545
58345	51	74218
58345	165	72286
58345	76	72428
58345	76	32988
45393	51	47676
45393	51	74218
11309	99	15699
8590	99	15699
29870	99	15699
4615	99	15699
4615	99	39005
12116	99	15699
51840	99	15699
72112	99	15699
70776	99	15699
30668	99	15699
30668	99	46443
48994	76	72428
48994	76	32988
51433	96	2081
51433	51	65970
51433	51	6926
51433	51	48003
51433	51	5108
51433	51	31693
51433	51	19171
51433	51	47676
51433	51	20545
51433	51	74218
51433	165	72286
51433	99	15699
51433	76	32988
51433	51	64648
61905	161	45617
61905	109	45617
61905	76	72428
